Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Middlebury,NESCAC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,56.4,56.3,56.5,273
Hamilton,NESCAC,15.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,56.3,56.2,56.4,215
Ithaca,LL,19.5,7.5,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.2,55.5,56.8,57
Whittier,SCIAC,18.0,5.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.2,55.6,57.1,69
Chicago,UAA,14.5,10.5,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,56.2,55.7,56.6,161
Vassar,LL,19.5,7.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.1,55.8,57.2,114
Coe,ARC,20.0,7.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.1,55.7,57.3,97
TCNJ,NJAC,21.0,6.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.0,55.5,56.9,65
George Fox,NWC,17.0,7.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.0,55.4,56.2,207
Wisconsin Lutheran,NACC,20.5,7.5,50.0%,50.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,55.9,55.3,56.5,61
Hanover,HCAC,19.0,8.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.9,55.8,56.9,85
Mt. St. Joseph,HCAC,20.0,8.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.9,55.5,56.7,88
Montclair St.,NJAC,21.0,5.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.9,55.7,57.4,74
Springfield,NEWMAC,16.0,11.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.8,55.2,56.4,353
UW-River Falls,WIAC,14.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,55.8,55.7,55.9,404
Cal Lutheran,SCIAC,18.0,7.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.8,55.2,56.6,63
Lebanon Val,MACF,21.0,5.0,100.0%,100.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,55.7,55.7,55.8,17
Carthage,CCIW,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,55.7,55.7,55.9,154
Hamline,MIAC,19.0,8.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.7,55.5,57.5,99
Linfield,NWC,16.0,7.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,55.5,55.4,55.5,252
St. John Fisher,E8,19.0,8.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.4,55.2,56.8,111
Chatham,PAC,20.0,5.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,55.3,55.2,55.4,160
Rochester,UAA,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,55.3,54.5,55.5,338
Concordia Moorhead,MIAC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,55.2,55.1,55.5,170
Shenandoah,ODAC,18.0,10.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,55.2,54.5,56.4,66
McDaniel,CC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,55.1,55.0,55.2,267
Penn State-Behrend,AMCC,20.0,5.0,80.0%,80.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,55.0,54.0,55.1,45
Widener,MACC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.8,54.2,54.9,405
St. Benedict,MIAC,17.0,10.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,54.8,54.7,54.9,354
Nazareth,E8,20.0,7.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.8,54.6,55.4,294
Brandeis,UAA,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,54.8,54.7,54.9,144
Dickinson,CC,14.0,13.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.7,54.6,55.3,183
SUNY Cobleskill,NAC,23.0,5.0,20.0%,20.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,54.7,54.6,55.8,91
Frank & Marsh,CC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,54.6,54.4,54.7,204
Westminster MO,SLIAC,20.0,6.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.4,53.9,55.4,68
Wm Paterson,NJAC,20.0,8.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.3,54.0,55.4,94
Emerson,NEWMAC,16.0,10.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,54.3,54.2,54.7,195
Wheaton (IL),CCIW,15.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,54.3,54.2,54.3,399
Washington MD,CC,17.0,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,54.2,54.1,54.9,391
