Origin_School,Destination_School,Distance
Bowdoin,Bethel,1517
Gallaudet,McMurry,1516
Vassar,East Texas Baptist,1514
East Texas Baptist,Vassar,1514
Whitman,UW-Superior,1511
UW-Superior,Whitman,1511
Randolph-Macon,TX Lutheran,1505
TX Lutheran,Randolph-Macon,1505
East Texas Baptist,Mt. St. Mary,1495
Mt. St. Mary,East Texas Baptist,1495
Whitman,Bethel,1489
Bethel,Whitman,1488
La Roche,TX Lutheran,1479
TX Lutheran,La Roche,1479
Carnegie Mellon,TX Lutheran,1472
Merchant Marine,East Texas Baptist,1472
East Texas Baptist,Merchant Marine,1472
TX Lutheran,Carnegie Mellon,1472
UW-Superior,Endicott,1470
Endicott,UW-Superior,1469
MA Dartmouth,UW-Superior,1466
UW-Superior,MA Dartmouth,1466
McMurry,Randolph-Macon,1465
Randolph-Macon,McMurry,1465
Bridgewater MA,UW-Superior,1460
UW-Superior,Bridgewater MA,1460
Bates,UW-Stout,1457
UW-Stout,Bates,1457
Colorado Col,Piedmont,1454
MA Dartmouth,Gustavus Adolphus,1454
Gustavus Adolphus,MA Dartmouth,1454
Piedmont,Colorado Col,1454
Brooklyn Col,East Texas Baptist,1453
East Texas Baptist,Brooklyn Col,1453
Bowdoin,UW-Stout,1452
NYU,East Texas Baptist,1452
Tufts,UW-Superior,1452
UW-Stout,Bowdoin,1452
UW-Superior,Tufts,1452
East Texas Baptist,NYU,1452
Gustavus Adolphus,Endicott,1451
Washington & Jefferson,TX Lutheran,1447
TX Lutheran,Washington & Jefferson,1447
Endicott,Gustavus Adolphus,1447
Stevens,East Texas Baptist,1443
East Texas Baptist,Stevens,1443
Bridgewater MA,Gustavus Adolphus,1442
Gustavus Adolphus,Bridgewater MA,1442
Cortland,East Texas Baptist,1441
East Texas Baptist,Cortland,1441
Montclair St.,East Texas Baptist,1439
East Texas Baptist,Montclair St.,1439
Colorado Col,La Roche,1438
La Roche,Colorado Col,1438
Cal Lutheran,TX Lutheran,1432
Gustavus Adolphus,Tufts,1432
Tufts,Gustavus Adolphus,1432
TX Lutheran,Cal Lutheran,1432
Carnegie Mellon,Colorado Col,1429
Colorado Col,Carnegie Mellon,1429
Baldwin Wallace,TX Lutheran,1419
TX Lutheran,Baldwin Wallace,1419
Bates,Wartburg,1418
Wartburg,Bates,1418
Bethel,Endicott,1416
Endicott,Bethel,1416
Bowdoin,Wartburg,1414
Wartburg,Bowdoin,1414
Bethel,Bridgewater MA,1408
Bridgewater MA,Bethel,1406
Scranton,East Texas Baptist,1404
East Texas Baptist,Scranton,1404
McMurry,La Roche,1403
La Roche,McMurry,1403
Colorado Col,Washington & Jefferson,1401
Washington & Jefferson,Colorado Col,1401
Bethel,Tufts,1398
Tufts,Bethel,1398
UW-La Crosse,Bates,1394
Bates,UW-La Crosse,1394
McMurry,Carnegie Mellon,1393
Carnegie Mellon,McMurry,1393
UW-La Crosse,Bowdoin,1389
Bowdoin,UW-La Crosse,1389
TX Lutheran,S Virginia,1387
S Virginia,TX Lutheran,1387
Washington & Lee,TX Lutheran,1386
TX Lutheran,Washington & Lee,1386
Bates,UW-Stevens Point,1377
UW-Stevens Point,Bates,1377
Amherst,UW-Superior,1376
UW-Superior,Amherst,1376
Bowdoin,UW-Stevens Point,1373
UW-Stevens Point,Bowdoin,1373
Baldwin Wallace,Colorado Col,1372
Colorado Col,Baldwin Wallace,1372
Smith,UW-Superior,1369
UW-Superior,Smith,1369
Calvin,TX Lutheran,1367
W New England,UW-Superior,1367
UW-Superior,W New England,1367
TX Lutheran,Calvin,1367
McMurry,Washington & Jefferson,1366
Washington & Jefferson,McMurry,1366
Bethel,MA Dartmouth,1362
MA Dartmouth,Bethel,1356
Trinity (Conn),UW-Superior,1354
UW-Superior,Trinity (Conn),1354
UW-Superior,St. Joseph CT,1354
St. Joseph CT,UW-Superior,1353
Amherst,Gustavus Adolphus,1353
Gustavus Adolphus,Amherst,1353
UW-Stevens Point,TX Lutheran,1353
TX Lutheran,UW-Stevens Point,1353
Endicott,UW-Stout,1350
MA Dartmouth,Wartburg,1349
UW-Stout,Endicott,1349
Gustavus Adolphus,W New England,1348
Gustavus Adolphus,Smith,1347
Smith,Gustavus Adolphus,1347
Wartburg,MA Dartmouth,1347
W New England,Gustavus Adolphus,1344
UW-Superior,TX Lutheran,1341
TX Lutheran,UW-Superior,1341
Bridgewater MA,UW-Stout,1340
UW-Stout,Bridgewater MA,1340
McMurry,Baldwin Wallace,1337
Baldwin Wallace,McMurry,1337
St. Joseph CT,Gustavus Adolphus,1334
Gustavus Adolphus,St. Joseph CT,1334
Gustavus Adolphus,Trinity (Conn),1331
Trinity (Conn),Gustavus Adolphus,1331
Tufts,UW-Stout,1331
UW-Stout,Tufts,1331
Principia,Bates,1327
McMurry,S Virginia,1327
