Massey_id,Massey_Name,Scott_Name
174, Kenyon,Kenyon
175, Keuka,Keuka
176, Keystone,Keystone
177, King's_PA,King's PA
178, Knox,Knox
179, La_Roche,La Roche
180, La_Verne,La Verne
181, LaGrange,LaGrange
182, Lake_Forest,Lake Forest
183, Lakeland,Lakeland
184, Lancaster_Bib,Lancaster Bib
185, Lasell,Lasell
186, Lawrence,Lawrence
187, Le_Tourneau,LeTourneau
188, Lebanon_Val,Lebanon Val
189, Lehman,Lehman
190, Lesley,Lesley
191, Lewis_&_Clark,Lewis & Clark
192, Linfield,Linfield
193, Loras,Loras
194, Luther_IA,Luther
195, Lycoming,Lycoming
196, Lynchburg,Lynchburg
197, Lyon,Lyon
198, M_Hardin-Baylor,Mary Hardin-Baylor
199, MA_Boston,MA Boston
200, MA_Col_Lib_Arts,MA Col Lib Arts
201, MA_Dartmouth,MA Dartmouth
202, Macalester,Macalester
203, Manchester,Manchester
204, Manhattanville,Manhattanville
205, Maranatha_Bap,Maranatha Bap
206, Marian_WI,Marian WI
207, Marietta,Marietta
208, Martin_Luther,Martin Luther
209, Mary_Baldwin,Mary Baldwin
210, Mary_Washington,Mary Washington
211, Marymount_VA,Marymount
212, Maryville_TN,Maryville TN
213, Marywood,Marywood
214, McDaniel,McDaniel
215, McMurry,McMurry
216, ME_Farmington,ME Farmington
217, ME_Maritime,ME Maritime
218, ME_Presque_Isle,ME Presque Isle
219, Medgar_Evers,Medgar Evers
220, Merchant_Marine,Merchant Marine
221, Meredith,Meredith
222, Messiah,Messiah
223, Methodist,Methodist
224, Middlebury,Middlebury
225, Millikin,Millikin
226, Millsaps,Millsaps
227, Milwaukee_Eng,Milwaukee Eng
228, Misericordia,Misericordia
229, MIT,MIT
230, Mitchell,Mitchell
231, MN_Morris,MN Morris
232, Monmouth_IL,Monmouth IL
233, Montclair_St,Montclair St.
234, Moravian,Moravian
235, Morrisville_St,Morrisville St.
236, MS_Women,MS Women
237, Mt_Aloysius,Mt. Aloysius
238, Mt_Holyoke,Mt. Holyoke
239, Mt_Mary,Mt. Mary
240, Mt_St_Joseph,Mt. St. Joseph
241, Mt_St_Mary_NY,Mt. St. Mary
242, Mt_St_Vincent,Mt. St. Vincent
243, Mt_Union,Mt. Union
244, Muhlenberg,Muhlenberg
245, Muskingum,Muskingum
246, N_Central_IL,N Central IL
247, N_Central_MN,N Central MN
248, N_England_Col,N England Col
249, Nazareth,Nazareth
250, NC_Wesleyan,NC Wesleyan
251, NE_Wesleyan,NE Wesleyan
252, Neumann,Neumann
253, Nichols,Nichols
254, NJ_City,New Jersey City
255, North_Park,North Park
256, Northland,Northland
257, Northwestern_MN,Northwestern MN
258, Norwich,Norwich
259, Notre_Dame_MD,Notre Dame MD
260, NVU-Johnson,NVU-Johnson
261, NVU-Lyndon,NVU-Lyndon
262, NYU,NYU
263, Oberlin,Oberlin
264, Occidental,Occidental
265, Oglethorpe,Oglethorpe
266, Ohio_Northern,Ohio Northern
267, Ohio_Wesleyan,Ohio Wesleyan
268, Old_Westbury,Old Westbury
269, Olivet_MI,Olivet MI
270, Oswego_St,Oswego St.
271, Otterbein,Otterbein
272, Pac_Lutheran,Pac Lutheran
273, Pacific_OR,Pacific
274, Peace,Peace
275, Penn_Col_Tech,Penn Col Tech
276, Pfeiffer,Pfeiffer
277, Piedmont,Piedmont
278, Pitt-Bradford,Pitt-Bradford
279, Pitt-Greensburg,Pitt-Greensburg
280, Plattsburgh_St,Plattsburgh St.
281, Plymouth_St,Plymouth St.
282, Pomona-Pitzer,Pomona-Pitzer
283, Pratt_Inst,Pratt Inst
284, Principia,Principia
285, PSU-Abington,PSU-Abington
286, PSU-Altoona,PSU-Altoona
287, PSU-Behrend,Penn State-Behrend
288, PSU-Berks,PSU-Berks
290, PSU-Harrisburg,PSU-Harrisburg
291, Puget_Sound,Puget Sound
292, Purchase,Purchase
293, R_Stockton,Stockton
294, Ramapo,Ramapo
295, Randolph_Col,Randolph Col
296, Randolph-Macon,Randolph-Macon
297, Redlands,Redlands
298, Regis_MA,Regis MA
299, Rensselaer,Rensselaer
300, Rhodes,Rhodes
301, RI_College,Rhode Island College
302, Ripon,Ripon
303, Rivier,Rivier
304, Roanoke,Roanoke
305, Rochester_NY,Rochester
306, Rochester_Tech,Rochester Tech
307, Rockford,Rockford
308, Roger_Williams,Roger Williams
309, Rose-Hulman,Rose-Hulman
310, Rosemont,Rosemont
311, Rowan,Rowan
312, Russell_Sage,Sage
313, Rutgers-Camden,Rutgers-Camden
314, Rutgers-Newark,Rutgers-Newark
315, S_Maine,S Maine
316, S_Virginia,S Virginia
317, Salem_MA,Salem MA
318, Salem_NC,Salem NC
319, Salisbury,Salisbury
320, Salve_Regina,Salve Regina
321, Sarah_Lawrence,Sarah Lawrence
322, Schreiner,Schreiner
