simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
7,Buffalo St.,5,20,43.63434504961999,False,False,False,False,False,False
7,Cairn,1,21,33.445426489723644,False,False,False,False,False,False
7,Cal Lutheran,17,7,55.21254525068259,False,False,False,False,False,False
7,Caltech,7,13,47.33919246107579,False,False,False,False,False,False
7,Calvin,17,11,53.906080172395356,False,False,False,False,False,False
7,Capital,21,7,57.99640276398108,False,False,False,False,False,False
7,Carleton,3,22,43.00619466272132,False,False,False,False,False,False
7,Carnegie Mellon,19,5,61.290838537458214,False,True,True,False,False,False
7,Carroll,19,8,57.64570995683098,True,False,True,False,False,False
7,Carthage,17,9,55.78969953971738,False,False,False,False,False,False
7,Case Western,7,18,49.86301140684532,False,False,False,False,False,False
7,Castleton,7,18,45.25792324959099,False,False,False,False,False,False
7,Catholic,23,4,60.61403111971882,False,True,True,False,False,False
7,Cedar Crest,8,12,42.07722466190302,False,False,False,False,False,False
7,Centenary,2,22,39.60988312482433,False,False,False,False,False,False
7,Centenary NJ,14,11,48.83718975589282,False,False,False,False,False,False
7,Central IA,15,12,51.45093308388516,False,False,False,False,False,False
7,Centre,20,8,53.50654034543143,False,False,False,False,False,False
7,Chapman,14,12,51.8677245082822,True,False,True,False,False,False
7,Chatham,20,5,55.300796496612236,False,False,False,False,False,False
7,Chicago,14,11,55.7453299218021,False,False,False,False,False,False
7,Christopher Newport,24,1,61.370817963950856,True,False,True,False,False,False
7,City Col NY,1,18,35.600439045828026,False,False,False,False,False,False
7,Claremont-Mudd-Scripps,10,15,48.96717510143002,False,False,False,False,False,False
7,Clark MA,11,14,49.66989787832727,False,False,False,False,False,False
7,Clarkson,9,15,46.84187130148802,False,False,False,False,False,False
7,Coast Guard,16,10,53.77604609300176,False,False,False,False,False,False
7,Coe,19,7,55.75531946755472,False,False,False,False,False,False
7,Colby,14,11,56.67431999477471,False,False,False,False,False,False
7,Colby-Sawyer,9,16,45.04526786971018,False,False,False,False,False,False
7,TCNJ,20,6,55.52647174045583,False,False,False,False,False,False
7,Colorado Col,24,3,60.48172749548928,False,True,True,False,False,False
7,Concordia IL,5,19,42.63406414638676,False,False,False,False,False,False
7,Concordia Moorhead,15,10,55.22851032633883,False,False,False,False,False,False
7,Concordia TX,14,13,51.18588334331289,False,False,False,False,False,False
7,Concordia WI,13,12,50.194999981295474,False,False,False,False,False,False
7,Cornell IA,14,10,49.72795111266212,False,False,False,False,False,False
7,Cortland,22,4,58.34492293197106,False,True,True,False,False,False
7,Covenant,6,13,42.81323132794416,False,False,False,False,False,False
7,Crown MN,4,20,38.74598375932499,False,False,False,False,False,False
7,CT College,10,14,51.55759479125838,False,False,False,False,False,False
7,Curry,8,17,47.312615126737235,False,False,False,False,False,False
7,Dallas Univ,3,21,40.27111841860314,False,False,False,False,False,False
7,Dean,5,19,41.36437289014094,False,False,False,False,False,False
7,Delaware Val,3,22,41.392817027239744,False,False,False,False,False,False
7,Denison,15,11,52.47600601347357,False,False,False,False,False,False
7,DePauw,19,7,56.82543500108795,False,False,False,False,False,False
7,DeSales,15,11,51.30172799803734,False,False,False,False,False,False
7,Dickinson,14,13,54.732635380637866,False,False,False,False,False,False
7,Dominican IL,5,19,39.74083137825444,False,False,False,False,False,False
7,Drew,14,12,51.61762642433905,False,False,False,False,False,False
7,Dubuque,10,16,49.03861630960009,False,False,False,False,False,False
7,Eastern Connecticut,11,15,49.593449210220484,False,False,False,False,False,False
7,E Mennonite,10,14,48.173429615794795,False,False,False,False,False,False
7,East Texas Baptist,22,3,61.86021311152865,True,False,True,False,False,True
7,Earlham,5,18,44.67755044673463,False,False,False,False,False,False
7,Eastern Univ,1,23,40.99403589197392,False,False,False,False,False,False
7,Edgewood,14,11,50.05320022478579,False,False,False,False,False,False
7,Elizabethtown,24,3,62.65872484905505,True,False,True,False,False,True
7,Elmhurst,16,9,53.531181212235396,False,False,False,False,False,False
7,Elmira,12,14,48.07715691377148,False,False,False,False,False,False
7,Elms,10,17,46.66335198201401,False,False,False,False,False,False
